Provider_ID,ZIP_Code,Hospital_overall_rating
110129,31995,5
30023,86001,4
50179,95382,2
110111,30824,4
50641,90023,3
100062,34474,2
10022,35960,4
100048,32565,4
50570,92708,3
100022,33136,1
50761,91356,3
50503,92024,2
50025,92103,2
51334,93023,4
41317,71742,Not Available
30111,85713,2
50069,92868,3
50603,92653,3
50454,94143,4
50776,90806,2
40078,71901,2
60107,80206,Not Available
110076,30033,1
30013,85364,3
21314,99835,Not Available
60022,80909,3
60112,80124,5
10150,36037,4
161306,52205,4
220074,2720,3
210056,21239,4
191311,71322,Not Available
160079,52403,4
110187,30533,3
170027,67124,4
111330,30125,Not Available
170105,67460,4
140164,62902,2
220065,1085,4
160112,51301,4
220035,1970,4
180149,42728,3
150183,47403,3
140115,60613,2
141304,61231,3
171349,66901,Not Available
140034,62801,5
150097,46176,4
191314,71282,Not Available
170058,66701,3
113301,30342,Not Available
140176,60098,4
120004,96786,3
121307,96727,Not Available
140012,61021,4
140180,60622,3
150058,46601,5
210004,20910,2
220015,1060,3
190064,70808,2
220002,2138,4
111305,39837,Not Available
121305,96763,Not Available
140122,60521,5
120014,96766,4
180064,40353,3
161341,50049,4
190040,70458,3
181324,42164,Not Available
150006,46350,3
151301,47394,4
171356,66861,Not Available
190060,70601,3
180104,42003,2
180127,40601,4
131305,83467,4
130018,83404,4
131314,83837,Not Available
210003,20785,1
191313,70438,Not Available
151322,47586,4
171350,67665,Not Available
200001,4401,3
210037,21601,3
131308,83611,Not Available
210063,21204,5
161367,50219,4
180038,42303,4
180019,41056,4
161303,50638,3
150090,46311,3
190020,70791,1
150007,46902,3
171306,67861,Not Available
200063,4856,3
160067,50702,2
171341,66434,3
190098,71103,1
190026,71301,2
191321,70443,Not Available
141345,62881,3
191320,71001,Not Available
141307,62274,Not Available
151316,46041,4
190081,71263,3
150012,46545,3
131317,83861,3
120022,96813,5
141330,61747,5
210017,21550,4
140177,60649,1
140289,62062,3
181305,41649,5
150045,46706,3
200041,4901,4
140064,61401,3
140211,60134,5
190201,70605,3
151319,47670,3
150101,46725,4
140137,62246,3
210024,21218,5
161318,52172,4
180035,41017,4
161316,52175,Not Available
161354,51445,4
111334,30439,Not Available
180130,40207,3
190079,70070,4
140288,60515,4
151331,47112,4
220070,2176,3
171301,67526,Not Available
181323,42347,3
220036,2135,4
130025,83440,5
120011,96819,4
161339,50677,5
150076,46563,4
141335,60033,3
161353,50511,2
180050,40831,1
111328,31791,Not Available
191322,70548,Not Available
160047,51503,4
190025,70554,4
110184,30134,4
171336,67560,Not Available
141332,62049,2
210027,21502,2
150042,47591,4
161345,51249,4
201302,4543,3
